Geneid	C_1	C_2	C_3	F_1	F_2	F_3	W_1	W_2	W_3
ENSG00000173662	1	0	2	2	4	0	0	0	1
ENSG00000204859	287	344	208	254	239	244	383	309	278
ENSG00000162413	436	578	406	639	566	406	767	522	374
ENSG00000116273	626	902	750	738	767	788	1231	1064	859
ENSG00000041988	187	177	187	208	183	191	292	155	185
ENSG00000007923	420	686	531	735	557	489	1134	679	543
ENSG00000228750	0	0	0	0	0	0	0	0	0
ENSG00000284744	0	0	0	0	0	0	0	0	0
ENSG00000237436	8	5	6	7	14	9	18	15	5
ENSG00000171735	825	903	645	895	877	789	1252	900	769
ENSG00000227950	1	1	1	1	0	2	0	0	1
ENSG00000237365	0	0	0	0	0	0	0	0	0
ENSG00000207056	0	0	0	0	0	0	0	0	0
ENSG00000237402	0	0	1	0	0	1	3	1	0
ENSG00000237728	0	0	0	1	0	0	0	0	0
ENSG00000225126	0	0	0	0	0	0	0	0	0
ENSG00000270171	0	1	0	0	0	3	2	5	0
ENSG00000270035	0	2	0	0	0	4	3	1	0
ENSG00000269978	1	2	3	2	4	6	1	2	3
ENSG00000049245	890	1185	1068	1008	1015	972	1602	1090	1010
ENSG00000269925	4	6	9	13	5	12	14	5	5
ENSG00000049246	614	1125	1150	1263	1208	1246	1923	1118	1378
ENSG00000236266	5	25	16	12	21	23	31	12	14
ENSG00000049247	5	1	1	0	1	0	0	0	1
ENSG00000049249	464	575	202	660	565	187	417	362	138
ENSG00000270330	0	0	0	0	0	0	0	0	0
ENSG00000116288	4552	3809	2838	3596	3245	3020	6072	3754	3400
ENSG00000200344	1	3	0	2	3	2	2	0	1
ENSG00000284747	15	16	14	34	18	18	42	29	15
ENSG00000284716	0	0	0	2	1	0	5	2	2
ENSG00000116285	441	1196	1244	1158	2037	1821	1220	1750	1062
ENSG00000238290	3	11	13	4	4	21	2	5	7
ENSG00000232848	0	0	2	1	0	1	0	0	0
ENSG00000229305	1	0	2	0	0	0	0	0	0
ENSG00000227634	2	1	6	1	4	7	9	2	7
ENSG00000200975	0	1	0	0	0	0	0	0	0
ENSG00000233645	0	0	1	1	0	2	2	0	0
ENSG00000251977	0	0	0	0	0	0	0	0	0
ENSG00000162426	30	63	26	66	80	57	97	90	63
ENSG00000252254	0	1	0	3	0	0	0	0	0
ENSG00000142599	959	2423	1900	2983	3729	3575	2717	2127	2065
ENSG00000232912	0	0	0	1	3	0	0	0	0
ENSG00000221083	0	0	0	0	0	0	0	0	0
ENSG00000270282	0	0	0	0	1	3	0	0	0
ENSG00000234619	4	3	0	0	0	0	3	0	0
ENSG00000224315	2	1	0	0	0	1	0	0	1
ENSG00000222511	0	1	0	0	0	0	0	0	0
ENSG00000226545	0	2	1	0	4	0	2	4	2
ENSG00000228423	0	0	1	1	0	1	1	1	0
ENSG00000229716	0	0	0	0	0	0	0	0	0
ENSG00000074800	70591	55312	46923	65417	54153	47520	106989	62696	58476
ENSG00000274258	0	0	1	0	1	0	0	2	0
ENSG00000230679	4	1	1	1	4	5	7	4	3
ENSG00000201725	0	0	0	0	0	0	0	0	0
ENSG00000238249	1	2	0	0	0	0	0	1	0
ENSG00000232208	0	0	0	0	0	0	0	0	0
ENSG00000232663	0	0	0	0	0	0	0	0	0
ENSG00000131686	0	0	0	0	0	0	0	0	0
ENSG00000265141	0	0	0	0	0	0	0	0	0
ENSG00000197241	0	0	1	1	0	3	0	1	0
ENSG00000142583	0	0	1	1	1	2	0	0	2
ENSG00000252404	0	0	0	0	0	0	0	0	0
ENSG00000180758	230	251	271	328	267	360	271	202	202
ENSG00000228526	228	310	328	284	356	445	372	236	230
ENSG00000284357	0	0	0	0	0	0	0	0	0
ENSG00000234546	41	48	43	49	68	81	39	36	49
ENSG00000049239	600	861	683	918	1216	1189	1083	1004	903
ENSG00000171621	1201	791	939	696	587	848	1072	714	771
ENSG00000284652	9	3	10	2	4	3	11	6	1
ENSG00000284693	11	10	15	8	8	10	17	9	4
ENSG00000252956	0	1	0	0	0	0	0	0	0
ENSG00000235263	0	0	0	0	0	0	0	0	0
ENSG00000171612	438	575	368	560	566	343	938	686	445
ENSG00000231181	2	12	9	9	7	5	22	1	5
ENSG00000188807	835	1131	788	1221	1214	927	1729	1387	966
ENSG00000171608	387	734	689	608	681	712	926	733	644
ENSG00000179840	0	0	0	0	0	0	0	0	0
ENSG00000233268	0	0	0	0	0	0	0	0	0
ENSG00000231789	108	141	70	161	169	168	236	169	125
ENSG00000171603	3771	6201	4746	7540	7872	7673	8496	6297	5829
ENSG00000271264	1	0	0	0	0	0	0	0	0
ENSG00000280113	0	0	0	0	0	0	0	1	1
ENSG00000178585	540	582	499	709	707	798	794	560	515
ENSG00000223989	0	0	0	0	0	0	0	0	0
ENSG00000285701	1	12	4	4	1	6	6	1	1
ENSG00000162441	525	690	520	739	739	605	1143	713	672
ENSG00000228150	15	11	10	12	16	4	30	14	10
ENSG00000173614	184	180	135	291	317	280	369	179	173
ENSG00000202415	20	22	4	7	7	5	12	4	6
ENSG00000283611	5	7	8	4	3	3	5	5	1
ENSG00000265521	1	1	0	0	0	0	0	0	0
ENSG00000241326	0	0	0	0	0	0	0	0	0
ENSG00000162444	36	25	14	31	28	31	12	8	10
ENSG00000130939	1358	2380	2115	2531	2710	2632	2808	1865	1986
ENSG00000224340	1	0	0	0	0	0	0	0	0
ENSG00000233623	2	0	3	0	1	6	1	0	0
ENSG00000201746	2	3	6	1	2	1	5	0	3
ENSG00000054523	786	1693	1756	1738	1818	1836	2433	1736	1593
ENSG00000264881	2	0	0	0	0	0	0	0	0
ENSG00000199562	0	0	2	1	0	0	1	0	2
ENSG00000264501	0	0	0	0	0	0	0	0	0
ENSG00000284735	1	7	4	9	3	9	4	3	2
ENSG00000284642	1	7	4	1	3	4	11	9	4
ENSG00000142657	4046	4014	3030	3751	3518	3238	5912	3819	3579
ENSG00000271989	3	0	0	0	0	0	2	1	0
ENSG00000251503	2	4	6	4	5	0	9	1	1
ENSG00000175279	100	76	72	97	85	88	162	84	79
ENSG00000241563	11	12	11	7	15	6	18	17	12
ENSG00000160049	1756	2181	2014	1872	1663	1861	3103	1922	2061
ENSG00000203469	0	0	0	0	0	0	0	0	0
ENSG00000142655	928	1062	797	906	887	855	1431	992	858
ENSG00000243267	1	1	4	0	3	2	3	0	0
ENSG00000130940	149	219	210	240	209	256	271	217	239
ENSG00000272078	10	11	7	18	12	15	20	17	23
ENSG00000225158	0	0	0	0	0	0	0	0	0
ENSG00000175262	4	3	2	11	10	22	1	2	5
ENSG00000215785	0	1	1	0	0	0	0	0	0
ENSG00000120948	1907	2320	2194	2286	2350	2518	3911	2506	2521
ENSG00000277726	0	1	0	0	0	0	0	1	0
ENSG00000009724	29	65	38	32	42	33	31	39	23
ENSG00000271895	26	46	40	20	28	21	27	35	20
ENSG00000116649	3124	2650	1802	3063	2126	1793	5157	3192	2700
ENSG00000171824	1150	1452	1327	1644	1428	1453	2393	1430	1286
ENSG00000226849	3	2	2	3	3	5	1	6	7
ENSG00000230337	0	3	0	9	4	1	7	0	0
ENSG00000198793	1100	2338	2196	2477	2389	2455	3487	2295	2538
ENSG00000225602	0	0	0	0	1	1	2	0	0
ENSG00000253086	0	0	0	0	0	0	0	0	0
ENSG00000171819	0	1	0	1	3	3	2	2	4
ENSG00000207451	0	0	0	1	0	2	0	0	3
ENSG00000238173	1	0	0	0	0	1	0	0	0
ENSG00000120942	635	794	543	671	612	446	1083	744	496
ENSG00000238199	3	4	2	2	1	2	6	1	2
ENSG00000284646	0	0	0	0	0	0	0	0	0
ENSG00000224338	0	0	0	1	0	0	0	0	0
ENSG00000204624	0	4	3	2	4	3	9	10	5
ENSG00000285833	0	0	0	0	0	0	0	0	0
ENSG00000235643	3	6	1	0	1	0	4	2	1
ENSG00000284708	1	0	0	1	1	1	2	0	0
ENSG00000116661	379	372	230	460	508	400	242	197	165
ENSG00000132879	460	529	417	444	466	509	738	607	538
ENSG00000116663	23	31	27	21	30	46	63	33	48
ENSG00000116670	1826	1619	1387	1540	1455	1558	3486	2494	2454
ENSG00000162490	45	71	144	66	99	151	93	107	94
ENSG00000177674	689	660	437	693	646	511	1374	877	795
ENSG00000215910	0	2	2	2	3	0	5	3	1
ENSG00000177553	0	0	0	0	0	0	1	0	0
ENSG00000177000	239	361	322	269	327	335	535	421	343
ENSG00000011021	192	398	365	329	438	432	684	599	670
ENSG00000276470	0	0	0	0	0	0	0	0	0
ENSG00000278852	0	0	0	0	0	0	0	0	0
ENSG00000175206	6	4	4	7	4	7	5	9	7
ENSG00000275915	0	0	0	0	0	0	0	0	0
ENSG00000120937	50	64	19	69	48	21	392	312	140
ENSG00000224904	0	0	0	0	0	0	0	0	0
ENSG00000285646	2	0	2	2	2	6	2	3	4
ENSG00000199347	0	0	0	0	0	0	0	0	0
ENSG00000201801	1	0	3	3	0	2	5	1	0
ENSG00000116685	1708	1708	1521	1751	1656	1721	4608	3150	2579
ENSG00000083444	2680	3237	2753	4676	4622	4680	8113	6258	5466
ENSG00000116688	1329	2068	1727	2281	2138	1737	5678	3330	2943
ENSG00000270914	0	0	0	0	1	0	0	0	0
ENSG00000116691	769	739	642	574	615	717	1403	937	1088
ENSG00000202461	1	1	2	8	1	7	18	9	8
ENSG00000276869	0	0	0	0	0	0	0	0	0
ENSG00000243539	0	0	0	0	0	0	0	0	0
ENSG00000120949	50	55	43	117	85	98	144	112	140
ENSG00000201135	0	0	0	0	0	0	0	0	0
ENSG00000227875	0	0	0	0	0	0	0	0	0
ENSG00000285604	0	0	0	0	0	0	0	7	0
ENSG00000283789	0	0	0	0	0	0	0	0	0
ENSG00000028137	8	8	4	7	11	6	23	20	27
ENSG00000263676	0	0	0	0	0	0	0	0	0
ENSG00000225196	0	0	0	0	0	0	0	0	0
ENSG00000252969	0	0	0	0	0	0	0	0	0
ENSG00000048707	273	819	785	750	883	851	1641	1149	1212
ENSG00000239149	4	3	2	1	5	2	6	1	4
ENSG00000229484	0	0	0	0	0	1	0	1	2
ENSG00000162496	178	239	223	154	226	443	224	208	315
ENSG00000221340	0	2	4	0	0	7	0	0	0
ENSG00000276830	0	0	0	0	0	0	3	0	3
ENSG00000272482	8	8	8	4	7	18	14	9	16
ENSG00000204518	0	0	0	0	0	0	0	0	0
ENSG00000226166	0	0	0	0	0	0	0	0	0
ENSG00000188984	0	0	0	0	0	0	0	0	0
ENSG00000157330	0	0	0	0	0	0	0	0	0
ENSG00000116726	0	4	0	0	0	0	0	3	3
ENSG00000116721	0	1	0	0	0	0	2	1	1
ENSG00000228338	0	0	1	0	0	0	0	0	0
ENSG00000239810	0	0	0	0	0	0	0	0	1
ENSG00000231103	0	0	0	0	0	0	0	0	0
ENSG00000179172	0	0	1	0	0	0	2	2	2
ENSG00000120952	0	1	0	0	0	0	0	1	3
ENSG00000243073	0	0	0	0	0	0	0	0	0
ENSG00000187545	0	0	0	0	0	0	0	0	0
ENSG00000204510	0	0	0	0	0	0	0	0	0
ENSG00000207434	0	0	0	0	0	0	0	0	0
ENSG00000234064	0	0	0	0	0	0	0	0	0
ENSG00000232423	0	0	0	0	0	0	0	0	0
ENSG00000274178	0	0	0	0	0	0	2	0	0
ENSG00000274764	0	0	0	0	0	0	0	0	0
ENSG00000277058	0	1	0	0	0	0	0	0	0
ENSG00000229571	0	0	0	0	0	0	0	0	0
ENSG00000277862	0	0	0	0	0	0	0	0	0
ENSG00000236179	0	0	0	0	0	0	0	0	0
ENSG00000275774	0	0	0	0	0	0	1	0	0
ENSG00000229978	0	0	0	0	0	0	0	0	0
ENSG00000233336	0	0	0	0	0	0	0	0	0
ENSG00000280267	0	0	0	0	0	0	0	0	0
ENSG00000179412	0	0	0	0	0	0	0	0	0
ENSG00000204505	0	0	0	0	0	0	1	0	2
ENSG00000279169	2	0	0	0	0	0	0	0	0
ENSG00000279804	0	0	0	0	0	0	0	0	0
ENSG00000250894	0	0	0	0	0	0	0	0	0
ENSG00000270601	0	0	0	0	0	0	0	0	0
ENSG00000231219	0	0	0	0	0	0	0	0	0
ENSG00000207511	0	0	0	0	0	0	0	0	0
ENSG00000182330	0	0	0	0	1	0	1	0	0
ENSG00000237700	0	0	0	0	0	0	0	0	0
ENSG00000204501	0	0	0	0	0	0	0	0	0
ENSG00000228229	0	0	0	0	0	0	0	0	0
ENSG00000204481	0	0	0	0	0	0	0	0	1
ENSG00000204480	0	0	0	0	0	0	0	0	0
ENSG00000204479	0	0	0	0	0	0	0	0	0
ENSG00000204478	0	0	1	0	0	0	2	0	0
ENSG00000162494	8	8	5	20	5	13	27	39	16
ENSG00000259961	0	0	0	0	0	0	0	0	0
ENSG00000215909	0	0	0	0	0	0	0	0	0
ENSG00000162493	449	549	482	593	533	527	1492	1094	1191
ENSG00000222952	0	0	0	0	0	1	0	0	0
ENSG00000237445	0	0	1	0	0	0	1	0	0
ENSG00000253085	0	0	0	0	0	0	0	0	0
ENSG00000116731	359	764	756	702	830	710	1489	1091	980
ENSG00000189337	199	413	298	477	543	449	1036	761	787
ENSG00000252151	0	0	0	0	0	0	0	0	0
ENSG00000231606	0	0	0	0	0	0	0	0	0
ENSG00000234593	0	0	0	0	0	1	2	2	0
ENSG00000235829	0	0	1	0	0	0	0	1	0
ENSG00000175147	2	3	6	8	7	13	7	3	11
ENSG00000171729	124	186	141	222	208	176	445	369	264
ENSG00000204464	0	2	0	3	1	0	0	0	1
ENSG00000215720	0	0	0	2	0	0	0	0	0
ENSG00000278480	2	1	0	0	1	0	1	0	2
ENSG00000142621	8	17	14	16	20	6	48	29	21
ENSG00000233485	0	0	1	0	1	0	2	1	1
ENSG00000236045	0	0	0	0	0	0	6	2	0
ENSG00000228140	0	4	5	4	6	6	10	8	3
ENSG00000142634	2126	2387	1688	2681	2476	1989	6018	4046	3205
ENSG00000162438	0	0	2	1	1	0	2	0	2
ENSG00000142615	1	1	0	0	0	2	0	1	0
ENSG00000215704	5	1	3	3	8	2	1	3	0
ENSG00000132906	229	318	207	242	295	254	565	474	357
ENSG00000116138	153	269	235	285	273	291	592	406	381
